,Year,Age,Sex,Mean,SD,M3,M4
289,1994,6,Male,21.6,3.46,1.55733269830296,8.04922550354823
290,1994,6,Female,21.2,3.38,1.31985519585564,6.54865477551187
291,1994,7,Male,24.3,4.31,1.93232665941911,10.0837157504464
292,1994,7,Female,23.7,3.94,1.31187889638986,6.2943584403918
293,1994,8,Male,27.3,5.13,1.71403404320161,8.21281780050994
294,1994,8,Female,26.8,4.86,1.33455873018738,5.88918070826347
295,1994,9,Male,30.7,6.3,1.51655627870042,6.46612451990059
296,1994,9,Female,30.3,5.86,1.2007710568742,5.30921570664592
297,1994,10,Male,34.2,7.23,1.43836421932223,6.1981435837182
298,1994,10,Female,34.6,7.12,1.17138352277149,5.30248998560242
299,1994,11,Male,38.4,8.3,1.27295362691576,5.67637226976005
300,1994,11,Female,39.4,7.94,0.935408714414694,4.64294370690821
301,1994,12,Male,44,9.61,1.13379045333187,5.28015259817782
302,1994,12,Female,44.4,8.11,0.901608273196456,5.01621003590725
303,1994,13,Male,49.3,9.96,1.00421264342516,5.10868278284746
304,1994,13,Female,47.8,7.68,1.0513276645211,6.09848887790678
305,1994,14,Male,54.6,9.84,1.09492614140222,5.77832283677645
306,1994,14,Female,50.5,7.57,1.12211929230922,6.18690819370292
307,1994,15,Male,59.5,10.44,1.27333050188204,5.92015648059443
308,1994,15,Female,52.2,7.78,1.22531962235951,6.35942057957206
309,1994,16,Male,61.5,10.08,1.398633880859,6.49385539315373
310,1994,16,Female,52.8,7.32,1.1085950646771,5.94262997440384
311,1994,17,Male,62.9,9.93,1.39493778788265,6.70875817438275
312,1994,17,Female,53.1,7.29,1.2215640113334,6.36706025048083
313,1995,5,Male,19.4,2.87,1.73383758567337,10.8368298979778
314,1995,5,Female,19,2.73,1.35828874334166,8.33666679889147
315,1995,6,Male,21.7,3.53,1.62472586251493,8.10422872407641
316,1995,6,Female,21.3,3.41,1.33933534052009,6.61374574464851
317,1995,7,Male,24.4,4.24,1.62572321616764,7.6713188422675
318,1995,7,Female,23.9,4.13,1.57232227100478,8.35492217611561
319,1995,8,Male,27.6,5.38,1.69396460850201,7.54395118830576
320,1995,8,Female,27,4.98,1.41128362749089,6.54532371278347
321,1995,9,Male,30.8,6.22,1.54359814006259,6.86765617128297
322,1995,9,Female,30.5,6.11,1.32054958877705,6.03766209373619
323,1995,10,Male,34.5,7.33,1.40775206308522,5.81263974104368
324,1995,10,Female,34.6,7,1.01269781170051,4.5254734753033
325,1995,11,Male,38.6,8.39,1.25772035837881,5.35429803683059
326,1995,11,Female,39.6,8.05,0.980674695866381,4.91813876583918
327,1995,12,Male,44.1,9.6,1.1458933820067,5.44477265928063
328,1995,12,Female,44.6,8.18,0.931954521609033,5.05844205593049
329,1995,13,Male,49.8,10.35,1.14304599182355,5.71162728216056
330,1995,13,Female,48,7.86,1.04624330794522,5.79863572397408
331,1995,14,Male,54.7,10.04,1.19238926813564,6.17597987386041
332,1995,14,Female,50.5,7.59,1.17690978964642,6.36413649676757
333,1995,15,Male,59.8,10.8,1.34826565046995,6.13023171839443
334,1995,15,Female,52.3,7.91,1.18089610408867,6.07950391824942
335,1995,16,Male,61.7,10.33,1.39386794374162,6.34317233299933
336,1995,16,Female,53.2,7.67,1.28811341073888,7.0181070965176
337,1995,17,Male,63,10.1,1.42582352210494,6.7635577634773
338,1995,17,Female,53.3,7.73,1.35459407546746,7.14004436084397
339,1996,5,Male,19.3,2.82,1.58863090334979,9.09179170996368
340,1996,5,Female,19,2.74,1.29995677128838,7.15329396927038
341,1996,6,Male,21.8,3.63,1.60615371159245,8.05071229950302
342,1996,6,Female,21.3,3.47,1.48293702845099,7.74635622179193
343,1996,7,Male,24.4,4.31,1.6809523469345,7.86579682619382
344,1996,7,Female,23.9,4.08,1.37776072810963,6.24988086157696
345,1996,8,Male,27.7,5.42,1.59230691944159,6.92459443602373
346,1996,8,Female,27.1,5.06,1.36348067254354,5.98550489147977
347,1996,9,Male,31.1,6.44,1.52006954894116,6.50135456477785
348,1996,9,Female,30.6,6.19,1.25263263901878,5.31300271134765
349,1996,10,Male,34.8,7.57,1.4373706393423,6.12307182187296
350,1996,10,Female,34.9,7.29,1.14828018536625,5.56789331914538
351,1996,11,Male,39,8.68,1.22396374582617,5.09652726959144
352,1996,11,Female,40,8.13,0.909501815507802,4.45968638694261
353,1996,12,Male,44.5,9.72,1.09280297313597,4.87252926631905
354,1996,12,Female,44.7,8.27,0.911725311501218,4.9617530376771
355,1996,13,Male,49.9,10.32,1.18675968018325,6.07728706491683
356,1996,13,Female,48.1,7.9,1.09231373292524,5.8430381355124
357,1996,14,Male,54.9,10.08,1.16757164782146,5.93293507915321
358,1996,14,Female,50.6,7.69,1.24347420719764,6.79198980155106
359,1996,15,Male,59.7,10.65,1.32347493864047,6.18885277421721
360,1996,15,Female,52.3,7.89,1.22334098779099,6.35792133800189
361,1996,16,Male,61.5,9.99,1.46514609542229,7.08388739805812
362,1996,16,Female,53.3,7.8,1.3614675310233,7.08756344929814
363,1996,17,Male,63.1,10.09,1.49051739055813,7.156148449686
364,1996,17,Female,53.2,7.59,1.27733791114201,6.68443863207623
365,1997,5,Male,19.3,2.86,1.58916525398736,8.76357705814909
366,1997,5,Female,18.9,2.72,1.25909049965021,6.90670771257117
367,1997,6,Male,21.7,3.68,1.76626741541461,9.12892537319056
368,1997,6,Female,21.2,3.49,1.52417814167197,7.93012465651047
369,1997,7,Male,24.5,4.53,1.88210926127945,9.28187006534163
370,1997,7,Female,23.8,4.18,1.56728990754665,7.76484304863267
371,1997,8,Male,27.7,5.48,1.58902545422999,6.86146716985199
372,1997,8,Female,27,5.18,1.47203151933843,6.60244413282212
373,1997,9,Male,31.2,6.68,1.53066886129057,6.47935727831449
374,1997,9,Female,30.5,6.19,1.29239007303238,5.90172179799454
375,1997,10,Male,34.9,7.78,1.44212953503916,6.43743069168996
376,1997,10,Female,34.8,7.35,1.08906896926477,4.76917929532825
377,1997,11,Male,39.1,8.78,1.25071935166818,5.33938532793942
378,1997,11,Female,39.8,8.14,0.97447547350261,4.88686193658113
379,1997,12,Male,44.6,9.89,1.16016374615577,5.34069867589307
380,1997,12,Female,44.7,8.37,1.02967895289168,5.50802257653237
381,1997,13,Male,49.9,10.36,1.10309857791479,5.34563998274997
382,1997,13,Female,47.9,7.98,1.16247298115007,6.20183858977926
383,1997,14,Male,54.9,10.1,1.19668031667668,6.09660939756468
384,1997,14,Female,50.4,7.75,1.30505019830335,7.11296489532749
385,1997,15,Male,59.7,10.86,1.38691535894462,6.20889893165019
386,1997,15,Female,52,7.97,1.27420495605559,6.39052552399496
387,1997,16,Male,61.5,10.34,1.45851009140179,6.79260314754517
388,1997,16,Female,53,7.71,1.30122334267083,6.89895972831224
389,1997,17,Male,62.9,10.15,1.50014035318807,7.02507551446813
390,1997,17,Female,52.9,7.56,1.28956343716911,7.17999244660553
391,1998,5,Male,19.2,2.77,1.60554666979065,9.31512724365617
392,1998,5,Female,18.9,2.69,1.26925225545007,6.80547930542607
393,1998,6,Male,21.7,3.66,1.70492014474669,8.63521130856959
394,1998,6,Female,21.3,3.51,1.53462028275064,7.63214775403531
395,1998,7,Male,24.4,4.51,1.84491397412924,9.22927561235661
396,1998,7,Female,23.8,4.15,1.51904068171187,7.35117924601426
397,1998,8,Male,27.7,5.51,1.62863372824109,7.27775426976528
398,1998,8,Female,27,5.12,1.40496420016,6.23557259277637
399,1998,9,Male,31.3,6.78,1.59039944904343,6.97864332418688
400,1998,9,Female,30.6,6.25,1.25057249328471,5.32841201104805
401,1998,10,Male,35,7.82,1.35210287819874,5.53347635756472
402,1998,10,Female,35,7.34,1.08302247930051,4.90567923464685
403,1998,11,Male,39.4,9,1.24765521547805,5.20655147166443
404,1998,11,Female,40.1,8.31,1.00263115290818,4.88587139002548
